8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20180112MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20180112MB1B                9I3    
8190           8190ZP64540           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20180112MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20180112MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP63860           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20180112MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180112MB1B                9I3    
