8190           8190ZS06260           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20181107MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181107MB1B                9I3    
