8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171130MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20171130MB1B                9I3    
8190           8190WF9813F           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190WF9464P           SX518190SX91000000015.000                    20171130MB1B                9I3    
