8190           8190ZQ94800           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91160           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91040           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91260           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ93820           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91820           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91580           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ91260           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20181013MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20181013MB1B                9I3    
