8190           8190ZT45520           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZU02860           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20181019MB1B                9I3    
