8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20171201MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171201MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171201MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20171201MB1B                9I3    
