8190           8190ZQ86640           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
