8190           8190ZP63890           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP67230           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20181127MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20181127MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20181127MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20181127MB1B                9I3    
8190           8190W60550A           SX518190SX91000000016.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZY85230           SX218190SX51000000010.000                    20181127MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20181127MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181127MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181127MB1B                9I3    
