8190           8190ZQ95600           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180606MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20180606MB1B                9I3    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67980           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180606MB1B                9I3    
