8190           8190ZQ87220           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ93870           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZQ93540           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190WZ9137C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190ZU06480           FL218190FL51000000020.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180707MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180706MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180706MB1B                9I3    
8190           8190VAS1250           CL218190CL51000000030.000                    20180706MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180707MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180707MB1B                9I3    
