8190           8190ZQ84650           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20190216MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20190216MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20190216MB1B                9I3    
8190           8190ZU24050           FLA18190FL51000000005.000                    20190216MB1B                9I3    
8190           8190ZU24050           FLA18190FL51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20190216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20190216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZU02860           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20190216MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZY13520           VNA08190CL51000000120.000                    20190216MB1B                9I3    
8190           8190ZY13520           VNA08190SX51000000120.000                    20190216MB1B                9I3    
8190           8190ZY13520           VNA08190VN51000000120.000                    20190216MB1B                9I3    
