8190           8190WY91390           SXA18190SX21000000005.000                    20171115MB1B                9I3    
8190           8190ZY84680           SX218190SX51000000010.000                    20171115MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZY85360           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZY85950           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZZ32760           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZT24060           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94370           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZY86490           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZZ32650           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190W93547A           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    
8190           8190ZR10700           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ95080           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94310           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZZ32820           SX518190SX91000000010.000                    20171115MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ92390           CL518190CL91000000007.000                    20171115MB1B                9I4    
8190           8190ZT45640           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZJ29970           CL518190CLB9000000020.000                    20171115MB1B                9I3    
8190           8190ZJ29990           CL518190CLB9000000020.000                    20171115MB1B                9I3    
8190           8190ZJ29970           CL518190CLB9000000020.000                    20171115MB1B                9I3    
8190           8190ZJ29990           CL518190CLB9000000020.000                    20171115MB1B                9I3    
