8190           8190ZE22490           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180827MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
