8190           8190ZQ88400           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP61380           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63200           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20190226MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    
8190           8190ZY84870           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZY84870           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190226MB1B                9I3    
