8190           8190ZQ87220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZQ31620           FLA08190FL21000000010.000                    20171117MB1B                9I3    
8190           8190ZP67840           FLA08190FL21000000010.000                    20171117MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20171117MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20171117MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20171117MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZT95930           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171117MB1B                9I3    
