8190           8190ZQ93380           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93380           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93480           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ89350           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2429B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2428B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20180624MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2426B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZG2429B           CLA28190CL51000000180.000                    20180624MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZR02080           SX518190SX91000000008.000                    20180624MB1B                9I3    
