8190           8190ZQ86340           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180710MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63130           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63130           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63150           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63170           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62950           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63070           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63360           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64020           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180710MB1B                9I3    
