8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20190108MB1B                9I3    
