8190           8190ZP62020           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20180521MB1B                9I3    
8190           8190ZP64210           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP64210           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180521MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180521MB1B                9I3    
