8190           8190ZP66950           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP66950           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP68020           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP68030           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP67170           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20180926MB1B                9I3    
