8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZZ32310           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZY85230           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZY85920           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZZ32200           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZZ32740           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZZ32580           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZY85340           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZY86470           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171204MB1B                9I3    
8190           8190WN4523B           FL518190FL91000000050.000                    20171204MB1B                9I3    
8190           8190ZZ32830           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZY84810           SX218190SX51000000010.000                    20171204MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20171204MB1B                9I3    
