8190           8190ZP67690           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181108MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP64270           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP64320           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZG29620           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP64520           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29710           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29670           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29690           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZG29650           CLA28190CL21000000180.000                    20181108MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP66710           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66650           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP66710           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP67200           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20181108MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20181108MB1B                9I3    
