8190           8190ZU02430           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP64740           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181107MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20181107MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20181107MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181107MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181107MB1B                9I3    
