8190           8190ZQ88890           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZZ32860           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZZ32310           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZY85180           SX218190SX51000000010.000                    20171218MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20171218MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20171218MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20171218MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20171218MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171218MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171218MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171218MB1B                9I3    
