8190           8190ZP61410           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZP61440           CLA08190CL21000000040.000                    20181010MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94730           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20181010MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20181010MB1B                9I3    
