8190           8190ZR00760           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00540           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01310           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01310           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00760           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00380           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00660           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00660           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00660           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00700           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR00920           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZR01010           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZP62620           FLA08190FL91000000120.000                    20180609MB1B                9I3    
