8190           8190ZQ94470           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ88060           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89700           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89700           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89910           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180919MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87630           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ91990           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ88130           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ87810           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ90000           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZQ89800           CL518190CL91000000020.000                    20180919MB1B                9I3    
8190           8190ZD10850           SX518190SX91000000001.000                    20180919MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20180919MB1B                9I3    
