8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64310           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP64300           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63960           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZP64030           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67530           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180707MB1B                9I3    
8190           8190ZP67530           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190ZP67530           SXA08190SX21000000016.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180707MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
