8190           8190ZF36800           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190VAR9930           SX518190SX91000000030.000                    20181212MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190VAR9930           SX518190SX91000000030.000                    20181212MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20181212MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190WY75970           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190W61948A           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181212MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181212MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181212MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181212MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZA14940           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181212MB1B                9I3    
8190           8190WZ98530           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190WZ98530           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190WZ98530           SX518190SX91000000001.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20181212MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20181212MB1B                9I3    
