8190           8190ZU02860           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20180911MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20180905MB1B                9I3    
8190           8190ZP64720           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66680           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66700           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67220           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67220           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67180           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67240           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67530           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67530           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP66660           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66660           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66630           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64780           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64780           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64890           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64920           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64990           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64990           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65240           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66360           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66390           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66420           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66420           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66420           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66600           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66600           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66630           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64840           FLA08190FL21000000500.000                    20180911MB1B                9I3    
8190           8190ZP64520           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZU49330           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63040           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63040           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64320           FLA08190FL21000000040.000                    20180911MB1B                9I3    
8190           8190ZP64230           FLA08190FL21000000040.000                    20180911MB1B                9I3    
