8190           8190ZC7633D           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20190402MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64180           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64020           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64180           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64180           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64960           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63150           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63000           SXA08190SX21000000030.000                    20190402MB1B                9I3    
