8190           8190ZP67330           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61810           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180113MB1B                9I3    
8190           8190ZP62190           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP67320           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180113MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20180113MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180113MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180113MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61840           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61870           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61770           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP66480           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64250           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64230           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180113MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180113MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20180113MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180113MB1B                9I3    
