8190           8190ZQ86440           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86670           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171211MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20171211MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20171211MB1B                9I3    
