8190           8190ZE22480           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190W61197A           SX518190SX91000000005.000                    20181004MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20181004MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190WQ4674B           SX518190SX91000000005.000                    20181004MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20181004MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20181004MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181004MB1B                9I3    
