8190           8190ZP62570           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190117MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20190117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190117MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20190117MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20190117MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20190117MB1B                9I3    
