8190           8190ZT43210           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63450           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZR01040           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180924MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180924MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180924MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180924MB1B                9I3    
