8190           8190ZP67300           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZT43120           SX218190SX51000000008.000                    20171205MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WZ70070           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WZ70060           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WZ70060           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20171205MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20171205MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20171205MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20171205MB1B                9I3    
