8190           8190ZT91380           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZU06380           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZU02910           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180216MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZU24050           FLA18190FL51000000005.000                    20180216MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    
